Detector,Dataset,STATS,SIZE,IAT,SAMP_NUM
OCSVM,UNB(PC2),0.66,0.80,0.79,0.92
OCSVM,UNB(PC3),0.69,0.87,0.80,0.93
OCSVM,UNB(PC5),0.61,0.76,0.77,0.92
OCSVM,SCam,0.97,0.67,0.36,0.69
OCSVM,GHom,0.38,0.95,0.85,0.99
IF,UNB(PC2),0.74,0.72,0.65,0.72
IF,UNB(PC3),0.78,0.77,0.65,0.82
IF,UNB(PC5),0.68,0.69,0.62,0.81
IF,SCam,0.83,0.60,0.85,0.66
IF,GHom,0.85,0.96,0.58,0.97
AE,UNB(PC2),0.75,0.75,0.44,0.92
AE,UNB(PC3),0.72,0.86,0.30,0.91
AE,UNB(PC5),0.49,0.76,0.37,0.94
AE,SCam,0.90,0.61,0.82,0.62
AE,GHom,0.40,0.69,0.08,0.99
KDE,UNB(PC2),0.63,0.82,0.74,0.92
KDE,UNB(PC3),0.68,0.87,0.73,0.91
KDE,UNB(PC5),0.57,0.79,0.73,0.93
KDE,SCam,0.83,0.61,0.81,0.60
KDE,GHom,0.61,0.95,0.95,0.99
GMM,UNB(PC2),0.77,0.76,0.66,0.97
GMM,UNB(PC3),0.80,0.84,0.67,0.97
GMM,UNB(PC5),0.62,0.78,0.65,0.97
GMM,SCam,0.99,0.62,0.99,0.66
GMM,GHom,0.98,0.97,0.97,0.99
PCA,UNB(PC2),0.71,0.75,0.46,0.92
PCA,UNB(PC3),0.77,0.83,0.31,0.91
PCA,UNB(PC5),0.70,0.79,0.41,0.93
PCA,SCam,0.83,0.57,0.80,0.58
PCA,GHom,0.41,0.38,0.06,0.99
